service_id,date,exception_type
78968,20260309,1
78968,20260310,1
78968,20260311,1
78968,20260312,1
78968,20260313,1
78968,20260316,1
78968,20260317,1
78968,20260318,1
78968,20260319,1
78968,20260320,1
78968,20260323,1
78968,20260324,1
78968,20260325,1
78968,20260326,1
79714,20260327,1
79714,20260330,1
79714,20260331,1
79714,20260401,1
79714,20260402,1
79714,20260403,1
78968,20260406,1
78968,20260407,1
78968,20260408,1
78968,20260409,1
78968,20260410,1
78968,20260413,1
78968,20260414,1
78968,20260415,1
78968,20260416,1
78968,20260417,1
78968,20260420,1
78968,20260421,1
78968,20260422,1
78968,20260423,1
78968,20260424,1
78968,20260427,1
78968,20260428,1
78968,20260429,1
78968,20260430,1
78968,20260501,1
78968,20260504,1
78968,20260505,1
78968,20260506,1
78968,20260507,1
78968,20260508,1
78968,20260511,1
78968,20260512,1
78968,20260513,1
78968,20260514,1
78968,20260515,1
78968,20260518,1
78968,20260519,1
78968,20260520,1
78968,20260521,1
78968,20260522,1
79536,20260525,1
78968,20260526,1
78968,20260527,1
78968,20260528,1
78968,20260529,1
78968,20260601,1
78968,20260602,1
78968,20260603,1
79714,20260604,1
79714,20260605,1
