route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,trip_short_name,bikes_allowed,wheelchair_accessible
30X,78968,11963590_M11,Spear + Howard,1,3021_M11,23,,,
30X,79714,11963590_M21,Spear + Howard,1,3021_M21,23,,,
30X,78968,11963588_M11,Spear + Howard,1,3022_M11,23,,,
30X,79714,11963588_M21,Spear + Howard,1,3022_M21,23,,,
30X,78968,11963589_M11,Spear + Howard,1,3023_M11,23,,,
30X,79714,11963589_M21,Spear + Howard,1,3023_M21,23,,,
L,78968,11976988_M11,Third St & 23rd St,1,9506_M11,9553,,,
L,79714,11976988_M21,Third St & 23rd St,1,9506_M21,9553,,,
L,78968,11976995_M11,Third St & 23rd St,1,9504_M11,9553,,,
L,79714,11976995_M21,Third St & 23rd St,1,9504_M21,9553,,,
L,78967,11977335,Third St & 23rd St,1,9507,9553,,,
L,79536,11977184,Third St & 23rd St,1,9507,9553,,,
L,79714,11977011_M21,Third St & 23rd St,1,9502_M21,9553,,,
L,78968,11977011_M11,Third St & 23rd St,1,9502_M11,9553,,,
L,78968,11977015_M11,Third St & 23rd St,1,9507_M11,9553,,,
L,79714,11977015_M21,Third St & 23rd St,1,9507_M21,9553,,,
L,79714,11977007_M21,Third St & 23rd St,1,9508_M21,9553,,,
L,78968,11977007_M11,Third St & 23rd St,1,9508_M11,9553,,,
L,78968,11977008_M11,Third St & 23rd St,1,9509_M11,9553,,,
L,79714,11977008_M21,Third St & 23rd St,1,9509_M21,9553,,,
L,78967,11977345,Third St & 23rd St,1,9506,9553,,,
L,79536,11977178,Third St & 23rd St,1,9506,9553,,,
L,79536,11977177,Third St & 23rd St,1,9508,9553,,,
L,78967,11977346,Third St & 23rd St,1,9508,9553,,,
L,78968,11976912_M11,Embarcadero Station,1,9501_M11,9551,,,
L,79714,11976912_M21,Embarcadero Station,1,9501_M21,9551,,,
L,78968,11976913_M11,Embarcadero Station,1,9503_M11,9551,,,
L,79714,11976913_M21,Embarcadero Station,1,9503_M21,9551,,,
L,78968,11976914_M11,Embarcadero Station,1,9502_M11,9551,,,
L,79714,11976914_M21,Embarcadero Station,1,9502_M21,9551,,,
L,78968,11976915_M11,Embarcadero Station,1,9504_M11,9551,,,
L,79714,11976915_M21,Embarcadero Station,1,9504_M21,9551,,,
L,78968,11976916_M11,Embarcadero Station,1,9505_M11,9551,,,
L,79714,11976916_M21,Embarcadero Station,1,9505_M21,9551,,,
L,78968,11976917_M11,Embarcadero Station,1,9507_M11,9551,,,
L,79714,11976917_M21,Embarcadero Station,1,9507_M21,9551,,,
L,79714,11976918_M21,Embarcadero Station,1,9506_M21,9551,,,
L,78968,11976918_M11,Embarcadero Station,1,9506_M11,9551,,,
L,78968,11976919_M11,Embarcadero Station,1,9508_M11,9551,,,
L,79714,11976919_M21,Embarcadero Station,1,9508_M21,9551,,,
L,78968,11976920_M11,Embarcadero Station,1,9509_M11,9551,,,
L,79714,11976920_M21,Embarcadero Station,1,9509_M21,9551,,,
L,78968,11976921_M11,Embarcadero Station,1,9501_M11,9551,,,
L,79714,11976921_M21,Embarcadero Station,1,9501_M21,9551,,,
L,78968,11976922_M11,Embarcadero Station,1,9503_M11,9551,,,
L,79714,11976922_M21,Embarcadero Station,1,9503_M21,9551,,,
L,78968,11976923_M11,Embarcadero Station,1,9510_M11,9551,,,
L,79714,11976923_M21,Embarcadero Station,1,9510_M21,9551,,,
L,79536,11977164,Embarcadero Station,1,9504,9551,,,
L,78967,11977273,Embarcadero Station,1,9504,9551,,,
L,78968,11976924_M11,Embarcadero Station,1,9502_M11,9551,,,
L,79714,11976924_M21,Embarcadero Station,1,9502_M21,9551,,,
L,78968,11976925_M11,Embarcadero Station,1,9504_M11,9551,,,
L,79714,11976925_M21,Embarcadero Station,1,9504_M21,9551,,,
L,79536,11977108,Embarcadero Station,1,9501,9551,,,
L,78967,11977274,Embarcadero Station,1,9501,9551,,,
L,78968,11976926_M11,Embarcadero Station,1,9505_M11,9551,,,
L,79714,11976926_M21,Embarcadero Station,1,9505_M21,9551,,,
L,79536,11977109,Embarcadero Station,1,9502,9551,,,
L,78967,11977275,Embarcadero Station,1,9502,9551,,,
L,78968,11976927_M11,Embarcadero Station,1,9507_M11,9551,,,
L,79714,11976927_M21,Embarcadero Station,1,9507_M21,9551,,,
L,78967,11977276,Embarcadero Station,1,9505,9551,,,
L,79536,11977110,Embarcadero Station,1,9505,9551,,,
L,78968,11976928_M11,Embarcadero Station,1,9506_M11,9551,,,
L,79714,11976928_M21,Embarcadero Station,1,9506_M21,9551,,,
L,79536,11977111,Embarcadero Station,1,9503,9551,,,
L,78967,11977277,Embarcadero Station,1,9503,9551,,,
L,78968,11976929_M11,Embarcadero Station,1,9508_M11,9551,,,
L,79714,11976929_M21,Embarcadero Station,1,9508_M21,9551,,,
L,79536,11977112,Embarcadero Station,1,9506,9551,,,
L,78967,11977278,Embarcadero Station,1,9506,9551,,,
L,79714,11976930_M21,Embarcadero Station,1,9509_M21,9551,,,
L,78968,11976930_M11,Embarcadero Station,1,9509_M11,9551,,,
L,79714,11976931_M21,Embarcadero Station,1,9501_M21,9551,,,
L,78968,11976931_M11,Embarcadero Station,1,9501_M11,9551,,,
L,79536,11977113,Embarcadero Station,1,9507,9551,,,
L,78967,11977279,Embarcadero Station,1,9507,9551,,,
L,79714,11976932_M21,Embarcadero Station,1,9503_M21,9551,,,
L,78968,11976932_M11,Embarcadero Station,1,9503_M11,9551,,,
L,78967,11977280,Embarcadero Station,1,9508,9551,,,
L,79536,11977114,Embarcadero Station,1,9508,9551,,,
L,78968,11976933_M11,Embarcadero Station,1,9510_M11,9551,,,
L,79714,11976933_M21,Embarcadero Station,1,9510_M21,9551,,,
L,78967,11977281,Embarcadero Station,1,9504,9551,,,
L,79536,11977115,Embarcadero Station,1,9504,9551,,,
L,78968,11976934_M11,Embarcadero Station,1,9502_M11,9551,,,
L,79714,11976934_M21,Embarcadero Station,1,9502_M21,9551,,,
L,78967,11977282,Embarcadero Station,1,9501,9551,,,
L,79536,11977116,Embarcadero Station,1,9501,9551,,,
L,78968,11976935_M11,Embarcadero Station,1,9504_M11,9551,,,
L,79714,11976935_M21,Embarcadero Station,1,9504_M21,9551,,,
L,79536,11977117,Embarcadero Station,1,9502,9551,,,
L,78967,11977283,Embarcadero Station,1,9502,9551,,,
L,78968,11976936_M11,Embarcadero Station,1,9505_M11,9551,,,
L,79714,11976936_M21,Embarcadero Station,1,9505_M21,9551,,,
L,78968,11976937_M11,Embarcadero Station,1,9507_M11,9551,,,
L,79714,11976937_M21,Embarcadero Station,1,9507_M21,9551,,,
L,79536,11977118,Embarcadero Station,1,9505,9551,,,
L,78967,11977284,Embarcadero Station,1,9505,9551,,,
L,78968,11976938_M11,Embarcadero Station,1,9506_M11,9551,,,
L,79714,11976938_M21,Embarcadero Station,1,9506_M21,9551,,,
L,78967,11977285,Embarcadero Station,1,9503,9551,,,
L,79536,11977119,Embarcadero Station,1,9503,9551,,,
L,78968,11976939_M11,Embarcadero Station,1,9508_M11,9551,,,
L,79714,11976939_M21,Embarcadero Station,1,9508_M21,9551,,,
L,79536,11977120,Embarcadero Station,1,9506,9551,,,
L,78967,11977286,Embarcadero Station,1,9506,9551,,,
L,78968,11976940_M11,Embarcadero Station,1,9509_M11,9551,,,
L,79714,11976940_M21,Embarcadero Station,1,9509_M21,9551,,,
L,79536,11977121,Embarcadero Station,1,9507,9551,,,
L,78967,11977287,Embarcadero Station,1,9507,9551,,,
L,78968,11976941_M11,Embarcadero Station,1,9501_M11,9551,,,
L,79714,11976941_M21,Embarcadero Station,1,9501_M21,9551,,,
L,79536,11977122,Embarcadero Station,1,9508,9551,,,
L,78967,11977288,Embarcadero Station,1,9508,9551,,,
L,79714,11976942_M21,Embarcadero Station,1,9503_M21,9551,,,
L,78968,11976942_M11,Embarcadero Station,1,9503_M11,9551,,,
L,78967,11977289,Embarcadero Station,1,9504,9551,,,
L,79536,11977123,Embarcadero Station,1,9504,9551,,,
L,79714,11976943_M21,Embarcadero Station,1,9510_M21,9551,,,
L,78968,11976943_M11,Embarcadero Station,1,9510_M11,9551,,,
L,79714,11976944_M21,Embarcadero Station,1,9502_M21,9551,,,
L,78968,11976944_M11,Embarcadero Station,1,9502_M11,9551,,,
L,79536,11977124,Embarcadero Station,1,9501,9551,,,
L,78967,11977290,Embarcadero Station,1,9501,9551,,,
L,79714,11976945_M21,Embarcadero Station,1,9504_M21,9551,,,
